ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
J01D B01 Cefalexin,1831.1457851398918,1333.050467820897,1376.9497333321926,711.9694651077198,649.3571698946321,581.8736530906524,534.45515901396,683.731083119096,1108.2021417696958,1355.0917080566667,1256.2788804527333,1400.961737736078
J01D B04 Cefazolin,23406.249593885073,22983.661253964197,23381.414768468177,17577.714166512043,17740.126671387814,16940.1512617291,18418.15672044281,17683.764073854458,19824.788943024454,23869.666224801127,23363.41863666314,23432.19995259344
J01D C02 Cefuroxime,54402.93295453325,50458.04166729109,49710.23551357404,29572.486666677098,27288.67966523623,25731.26534016023,28457.091556176114,30415.98340506551,42240.94416025371,57567.60164048096,54640.44050073945,58845.58326502291
J01D D01 Cefotaxime,27810.319539674492,20931.061437124987,16891.40203688589,2441.962798495108,0.0,0.0,0.0,0.0,7536.1084679258065,21829.84803413004,19053.67356889394,21747.835478505545
J01D D02 Ceftazidime,16379.064404739542,7751.567908972454,2947.446220833359,0.0,0.0,0.0,0.0,0.0,0.0,28491.68867043348,31950.8256977988,24085.360828165598
J01D D04 Ceftriaxone,410060.72833465977,324801.8602796771,316136.3876800922,70910.60464482548,0.0,0.0,0.0,0.0,135049.54416409702,593583.6052984367,517747.9400503097,386437.72529620916
J01D D08 Cefixime,92862.89073089971,88474.54218752585,83083.48204396323,51088.32142024949,46753.79121241498,44316.957337283784,46196.442528315245,49646.87417227684,69842.79377858255,96603.28175476356,90330.92322684475,99263.31469564617
J01D D12 Cefoperazone,1571.1199996913647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12828.660670022677,13004.266333768359,0.0
J01D D13 Cefpodoxime,56618.92068420838,50656.9542976968,47601.52646484208,24457.567874912846,18146.671079323994,14019.628119207462,13032.585027468778,15572.628630432375,31122.587189157803,58788.97011249268,56414.335327515124,57688.459975887614
J01D D15 Cefdinir,5651.520078832293,5142.932580932075,3724.1041811670543,3452.5894599101925,2375.5164814598575,1501.0748972547433,1226.5016284458063,1282.447811953811,2600.8355573153685,6274.151752159768,5765.2007065904445,5028.957868690136
J01D D16 Cefditoren,0.0,0.0,0.8501598820596716,0.0,0.0,0.0,0.0,0.0,1.1633293976618413,5.814167429645345,1.0313487749320687,0.0
J01D D52 Ceftazidime and beta-lactamase inhibitor,46.670471560658946,50.12849909347248,39.892162797967266,44.26753543980705,47.25707523152283,46.60194874313942,48.402289230676644,49.42540329895038,47.36393623181333,56.660004256347634,54.433300354219035,55.70317891076012
"J01D D54 Ceftriaxone, combinations",341.51684588601387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.8736024247396,3193.3856307452324,1786.4594785159393
J01D D62 Cefoperazone and beta-lactamase inhibitor,4198.250067203307,0.0,1807.5136312860845,0.0,0.0,0.0,0.0,0.0,0.0,70995.82078407271,55059.795568304355,18976.49403947958
J01D D63 Ceftriaxone and beta-lactamase inhibitor,21.342056498008418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25007.61397326978,27981.80355201461,6770.057759554409
J01D E01 Cefepime,0.0,0.0,15636.38741605337,0.0,0.0,0.0,0.0,0.0,0.0,116814.97440569448,104042.04620135033,20798.377762076303
"J01D E51** Cefepimum, combinations",1353.1706100610572,1440.8626883469658,1429.0751656499488,1447.3793220191524,1472.9446735012655,1461.279160340643,1450.6573257694213,1600.0344858581307,1580.6248908737741,1601.9198785700055,1635.676019812795,1669.291256924815
J01D F01 Aztreonam,1095.4470109151587,1129.507587544217,1068.439774382334,1190.3204493876988,1094.9443149268614,1152.399132893062,1072.3739128008935,1241.6506622620295,1072.196187365809,1279.5843329837035,1258.32497501289,1244.28201417111
J01D H02 Meropenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3005.215930599585,5555.811246078981,467.4761195239152
J01D H03 Ertapenem,17.77218004516279,0.0,37.343489711980496,0.0,0.0,10.245088449925214,0.0,9.050786411950922,6.3532866647698505,30.76921523601637,31.97188646200498,22.03435181178726
J01D H51 Imipenem and cilastatin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3216.840255623941,3050.451915736358,0.0
J01E B03 Sulfadimidine,4802.124894499511,4362.882566982204,4768.311442728846,2745.7868810866503,2330.249569533383,1839.2932580512575,2432.193746626046,2680.086075246367,4130.379075903111,5604.774614188997,5321.134982578193,4990.086015050039
J01E B06 Sulfanilamide,209353.2611190412,202447.16543356297,227164.6078607767,150915.36884164487,142672.19238454057,147350.26993119653,160159.307202253,177790.3250629498,209371.88476423928,219696.93894714653,197014.22445674904,206434.52152546472
J01E D01 Sulfadimethoxine,2515.735382411278,2060.1411287418487,3606.2636214458034,1721.6953232044755,984.6860735651292,378.661320097662,948.4243379934823,1213.396438684426,1878.921168030736,1580.856494599644,528.8269885300219,277.6699914537935
